run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q4,2,2.046,33.467,713,0,31,31,62,0,f,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q4,3,2.193,33.476,713,0,31,31,62,0,f,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q4-np,1,2.961,46.92,713,0,31,31,62,0,f,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q4-np,2,2.568,35.484,713,0,31,31,62,0,f,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q4-np,3,1.936,35.551,713,0,31,31,62,0,f,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5,1,0.562,0.04,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5,2,0.184,0.026,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5,3,0.137,0.022,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5-np,1,0.574,0.041,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5-np,2,0.187,0.025,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q5-np,3,0.168,0.024,2,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1,1,11.408,14.658,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1,2,2.725,17.081,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1,3,1.898,12.94,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1-np,1,13.882,14.878,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1-np,2,2.085,13.182,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q1-np,3,1.853,13.23,751,0,31,31,62,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2,1,136.061,20.972,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2,2,44.893,17.19,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2,3,37.74,16.966,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2-np,1,132.986,18.867,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2-np,2,41.491,17.311,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q2-np,3,35.975,17.51,775,0,31,31,62,369,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q3,1,2.309,8.884,775,0,31,31,62,0,f,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q3,2,1.546,9.568,775,0,31,31,62,0,f,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_tstz,Q3,3,1.336,11.143,775,0,31,31,62,0,f,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
