run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q4-np,1,1.487,21.991,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q4-np,2,0.516,22.543,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q4-np,3,0.521,22.381,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5,1,0.447,0.05,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5,2,0.151,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5,3,1.061,0.041,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5-np,1,0.836,0.06,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5-np,2,0.165,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q5-np,3,0.119,0.033,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1,1,3.093,6.769,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1,2,0.491,5.896,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1,3,0.38,5.765,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1-np,1,3.2,6.475,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1-np,2,0.463,5.817,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q1-np,3,0.352,5.527,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2,1,19.033,16.887,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2,2,4.483,14.419,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2,3,3.707,14.115,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2-np,1,16.446,6.414,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2-np,2,4.513,6.346,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q2-np,3,3.653,6.222,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3,1,0.6,5.44,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3,2,0.36,4.537,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3,3,0.31,4.274,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3-np,1,0.549,5.111,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3-np,2,0.344,4.977,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q3-np,3,0.319,4.478,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4,1,0.659,16.188,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4,2,0.404,16.215,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4,3,0.446,16.247,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4-np,1,0.621,16.999,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4-np,2,0.465,16.37,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q4-np,3,0.522,17.048,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5,1,0.445,0.053,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5,2,0.143,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5,3,0.13,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5-np,1,0.435,0.049,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5-np,2,0.143,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_tstz,Q5-np,3,0.116,0.034,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_tstz WHERE device_id = 17 AND ts = '2026-03-07'
